feature,importance
num__AgeAtEvent,34896
cat__DurationBin_60min,3577
cat__ModeOfDeliveryCategory_Video chat,3443
cat__ModeOfDeliveryCategory_In-person,3371
cat__ModeOfDeliveryCategory_Phone appointment,3282
cat__CltHadMedicaidAll_N,3141
cat__DurationBin_30min,3021
cat__DayOfWeekUSA_4,2995
cat__DayOfWeekUSA_3,2979
cat__DayOfWeekUSA_5,2689
cat__DayOfWeekUSA_2,2525
cat__CltHadMedicareAll_N,2397
cat__SometimesScheduled_N,2294
cat__DayOfWeekUSA_6,2255
cat__DurationBin_45min,2039
cat__LocationId_86,1958
cat__ClientCountyIsMetroDenver_N,1733
cat__LocationId_18,1726
cat__CltHasSUDDx_N,1613
cat__MedsOnlyAtEvent_N,1599
cat__CltHasSUDDx_Y,1522
cat__LocationId_16,1494
cat__LocationId_31,1317
cat__LocationId_15,1211
cat__CltHadMedicaidAll_Y,1204
cat__ProgramId_109,1191
cat__CltIsCoOccurring_N,1169
cat__LocationId_222,1151
cat__CltIsCoOccurring_Y,1143
cat__ProgramId_154,1122
cat__DurationBin_15min,1047
cat__ProgramId_214,1028
cat__LocationId_12,911
cat__ClientCountyIsMetroDenver_Y,889
cat__LocationId_79,887
cat__LocationId_81,790
cat__LocationId_223,766
cat__IsIntake_N,763
cat__SometimesScheduled_Y,746
cat__ProgramId_141,741
cat__ProgramId_132,739
cat__CltHadMedicareAll_Y,703
cat__ProgramId_224,681
cat__ProgramId_135,672
cat__ProgramId_104,668
cat__LocationId_226,666
cat__ProgramId_136,659
cat__ProgramId_118,629
cat__DurationBin_90min,608
cat__ProgramId_103,555
cat__ProgramId_144,504
cat__MedsOnlyAtEvent_Y,494
cat__CltHasMHDx_N,467
cat__LocationId_68,463
cat__ProgramId_227,434
cat__ProgramId_225,408
cat__ProgramId_110,404
cat__ProgramId_236,392
cat__ProgramId_108,387
cat__ProgramId_226,366
cat__DurationBin_120min,361
cat__ProgramId_131,354
cat__DayOfWeekUSA_7,338
cat__LocationId_19,336
cat__ProgramId_241,334
cat__LocationId_92,323
cat__LocationId_26,312
cat__LocationId_93,311
cat__ProgramId_222,311
cat__CltHasMHDx_Y,307
cat__ProgramId_239,299
cat__LocationId_33,298
cat__ProgramId_231,271
cat__ModeOfDeliveryCategory_Other/Unknown,270
cat__LocationId_24,263
cat__LocationId_35,246
cat__ProgramId_147,242
cat__ProgramId_247,201
cat__LocationId_70,199
cat__IsIntake_Y,194
cat__ProgramId_148,190
cat__ProgramId_243,187
cat__DurationBin_Unknown,178
cat__ProgramId_244,149
cat__LocationId_89,142
cat__LocationId_34,136
cat__LocationId___RARE__,132
cat__LocationId_87,122
cat__LocationId_84,111
cat__ProgramId_229,111
cat__ProgramId_237,108
cat__LocationId_73,102
cat__LocationId_13,91
cat__LocationId_17,89
cat__LocationId_80,65
cat__DayOfWeekUSA_1,62
cat__ProgramId_146,62
cat__LocationId_97,62
cat__ProgramId_253,60
cat__LocationId_69,58
cat__LocationId_82,58
cat__ProgramId___RARE__,53
cat__LocationId_49,52
cat__ProgramId_251,51
cat__ProgramId_258,49
cat__ProgramId_246,42
cat__DurationBin_240min,39
cat__LocationId_77,38
cat__ProgramId_117,36
cat__LocationId_71,36
cat__ProgramId_218,18
cat__ProgramId_238,17
cat__ProgramId_infrequent_sklearn,0
